TIME_REF,rent_cpi,region
2015.05,1449,Canterbury
2015.06,1438,Canterbury
2015.07,1387,Canterbury
2015.08,1402,Canterbury
2015.09,1395,Canterbury
2015.1,1404,Canterbury
2015.11,1398,Canterbury
2015.12,1392,Canterbury
2016.01,1382,Canterbury
2016.02,1419,Canterbury
2016.03,1422,Canterbury
2016.04,1399,Canterbury
2016.05,1386,Canterbury
2016.06,1344,Canterbury
2016.07,1355,Canterbury
2016.08,1344,Canterbury
2016.09,1342,Canterbury
2016.1,1345,Canterbury
2016.11,1370,Canterbury
2016.12,1382,Canterbury
2017.01,1390,Canterbury
2017.02,1403,Canterbury
2017.03,1349,Canterbury
2017.04,1363,Canterbury
2017.05,1349,Canterbury
2017.06,1339,Canterbury
2017.07,1328,Canterbury
2017.08,1356,Canterbury
2017.09,1346,Canterbury
2017.1,1364,Canterbury
2017.11,1347,Canterbury
2017.12,1370,Canterbury
2018.01,1362,Canterbury
2018.02,1386,Canterbury
2018.03,1366,Canterbury
2018.04,1371,Canterbury
2018.05,1368,Canterbury
2018.06,1366,Canterbury
2018.07,1349,Canterbury
2018.08,1369,Canterbury
2018.09,1364,Canterbury
2018.1,1360,Canterbury
2018.11,1394,Canterbury
2018.12,1408,Canterbury
2019.01,1398,Canterbury
2019.02,1423,Canterbury
2019.03,1401,Canterbury
2019.04,1435,Canterbury
2019.05,1408,Canterbury
2019.06,1414,Canterbury
2019.07,1377,Canterbury
2019.08,1391,Canterbury
2019.09,1414,Canterbury
2019.1,1363,Canterbury
2019.11,1425,Canterbury
2019.12,1428,Canterbury
2020.01,1437,Canterbury
2020.02,1423,Canterbury
2020.03,1426,Canterbury
2020.04,1382,Canterbury
2020.05,1407,Canterbury
2020.06,1390,Canterbury
2020.07,1426,Canterbury
2020.08,1413,Canterbury
2020.09,1421,Canterbury
2020.1,1442,Canterbury
2020.11,1390,Canterbury
2020.12,1441,Canterbury
2006.11,1000,Rest of South Island
2006.12,979,Rest of South Island
2007.01,1052,Rest of South Island
2007.02,1009,Rest of South Island
2007.03,1044,Rest of South Island
2007.04,1010,Rest of South Island
2007.05,1008,Rest of South Island
2007.06,1044,Rest of South Island
2007.07,1013,Rest of South Island
2007.08,1026,Rest of South Island
2007.09,1039,Rest of South Island
2007.1,1056,Rest of South Island
2007.11,1052,Rest of South Island
2007.12,1058,Rest of South Island
2008.01,1073,Rest of South Island
2008.02,1083,Rest of South Island
2008.03,1070,Rest of South Island
2008.04,1086,Rest of South Island
2008.05,1076,Rest of South Island
2008.06,1065,Rest of South Island
2008.07,1060,Rest of South Island
2008.08,1092,Rest of South Island
2008.09,1087,Rest of South Island
2008.1,1094,Rest of South Island
2008.11,1078,Rest of South Island
2008.12,1058,Rest of South Island
